$Price/Unit,% 1-Bed,% 2-Bed,% 3-Bed,% Studios,Affordable Type,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Ask Rent/SF,Ask Rent/Unit,Average Weighted Rent,Avg Concessions %,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Avg Unit Size,Building Address,Building Class,Building Location,Building Name,Building Operating Expenses,Building Park,Building Status,Building Tax Expenses,Cap Rate,Ceiling Height Range,City,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Construction Material,Core Factor,County Name,Cross Street,Days On Market,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Effective Rent/SF,Effective Rent/Unit,Energy Star,Exp Year,Features,For Sale Price,For Sale Status,Gas,Heating,LEED Certified,Land Area (AC),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Market Name,Market Segment,Max Building Contiguous Space,Max Floor Contiguous Space,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Stories,Number Of Studios,Number Of Units,Office Space,One Bedroom Mix,One Bedroom Rent High,One Bedroom Rent Low,Ops Expense,Ops Expense Per SF,Other Bedroom Rent High,Other Bedroom Rent Low,Other Mix,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parking Ratio,Parking Spaces/Unit,Percent Leased,Power,Primary Agent Name,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Rail Lines,Rent Type,Rentable Building Area,Secondary Type,Serial,Services,Sewer,Smallest Available Space,Sprinklers,Star Rating,State,Style,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Submarket Name,Tax Year,Taxes Per SF,Taxes Total,Three Bedroom Mix,Three Bedroom Rent High,Three Bedroom Rent Low,Total Available Space (SF),Total Buildings,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,Two Bedroom Mix,Two Bedroom Rent High,Two Bedroom Rent Low,Typical Floor Size,Vacancy %,Water,Year Built,Year Renovated,Zip,Zoning
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1335 Lemon St,C,,,2013 Tax @ $0.80/sf,,Existing,2013 Tax @ $0.80/sf,,,Vallejo,,,,,Wood Frame,,Solano,,,,,,,1/10'0inw x 15'0inh,,,,,,,N,,,,0.758,7/18/2014 12:00,"410,000.00",38.090331,,,,,,,-122.238599,North Bay/Santa Rosa,,,,,,,,0,,,8,1,,,,,,,,,,,,1084 Orchard Ave,"Vallejo, CA  94591",Scott Ingham,Scott Alan & Kathyrn Lynn Ingham,7075574790,0061-080-560,0061-080-560,1.1,,100,,,,,,,,4335169,Industrial,,,7200,,A4VTEA,,,,None,1 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,7200,,,1954,,945907249,"IU, Vallejo"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1384 Lemon St,C,,,2013 Tax @ $0.84/sf,,Existing,2013 Tax @ $0.84/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,3/10'0inw x 14'0inh,,,,,,,N,,,,0.155,,,38.0914034,,,,,,,-122.2378202,North Bay/Santa Rosa,,,,,,,,0,,,4,1,,,,,,,,,,,,1725 Ellie Ct,"Benicia, CA  945102658",,Williams Richard L & P,,0059-180-120,0059-180-120,1.08,,100,,,,,,,,7666215,Industrial,,,3692,Warehouse,BPS0YA,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.84,3119.54,,,,,,,,,,,0,,,,4195,,,1954,,94590,
,,,,,,,,,,,,5.25,,5.25,-,-,-,-,-,,1633 Marine World Pky,C,,,2013 Tax @ $0.51/sf,,Existing,2013 Tax @ $0.51/sf,,14'0in-16'0in,Vallejo,,,,,Masonry,,Solano,,2139,,8000,Modified Gross,8000,3,,,,,,875000,Y,,,,0.4381,,,38.1387374,801-807 E 4th St,"Benicia, CA  94510",Ron Knarr,,Ron Knarr,7073337184,-122.2541587,North Bay/Santa Rosa,,8000,8000,,,,,0,,,24,1,,,,,,,,,,,,801-807 E 4th St,"Benicia, CA  94510",Ron Knarr,Ron Knarr,7073337184,0052-040-600,0052-040-600,3,,0,,Ron Knarr,,,,,,7003034,Industrial,,,8000,Service,BSMEFA,Direct - Modified Gross,,8000,,2 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,2013,0.51,4092.58,,,,8000,,,8000,0,8000,0,8000,,,,8000,,,1954,,94589,LI
,,,,,,,,,,,,Withheld,,Withheld,-,-,-,-,-,,114 Railroad Ave,C,,Bldg 114,,Mare Island,Existing,,,14'0in,Vallejo,,,,,Masonry,,Solano,10th St,,Lennar Partners,35136,,35136,2/12'0inw x 16'0inh,,,,,,,N,,,,1.86,,,38.095477,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.268131,North Bay/Santa Rosa,,35136,17568,,,,,0,2,,10,2,,,,,,,,,,,,1601 Washington Ave Suite # 700,"Miami Beach, FL  331393164",,LNR Property Corporation,3056955500,0066-050-040,0066-050-040,,,0,800a,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,517179,Industrial,,,35136,Warehouse,SO2152,,,17568,Yes,2 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,,,,,,,35136,,,35136,0,35136,0,35136,,,,17568,,,1954,,945921015,Ind
,,,,,,Property Manager on Site,,,,,,-,,-,-,-,-,-,-,,Railroad Ave @ 3rd St,C,,Bldg 227,,Mare Island,Existing,,,14'0in,Vallejo,,,,,Metal,,Solano,3rd St,,Lennar Partners,,,,2/10'0inw x 12'0inh,,,,,Property Manager on Site,,N,,,,,,,38.102778,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.274205,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,1601 Washington Ave Suite # 700,"Miami Beach, FL  331393164",,LNR Property Corporation,3056955500,066-020-060,066-020-060,,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,351375,Industrial,,,15600,Warehouse,SO8532,,,,,1 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,15600,,,1955,,94592,
,,,,,,Fenced Lot,,,,,,-,,-,-,-,-,-,-,,550 N Jefferson St,C,,,,,Existing,,,,Dixon,,,,,Metal,,Solano,,,,,,,1/12'0inw x 14'0inh,,,,,Fenced Lot,,N,,,,4.5722,8/7/1998 12:00,"595,000.00",38.450011,,,,,,,-121.824659,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,0113-075-010,0113-075-090,,,100,,,,,,,,4162480,Industrial,,,14856,Warehouse,975078,,,,,2 Star,CA,,,,,Solano County Ind,Vacaville Ind,,,,,,,,,,,,,,0,,,,15638,,,1957,,956202917,"CS, Dixon"
,,,,,,Property Manager on Site,,,,,,-,,-,-,-,-,-,-,,1st St @ California Ave,C,,Bldg 89,,Mare Island,Existing,,,29'0in,Vallejo,,,,,Masonry,,Solano,California Ave,,Lennar Partners,,,,6/10'0inw x 16'0inh,,,,,Property Manager on Site,,N,,,,,,,38.104949,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.273958,North Bay/Santa Rosa,,,,,,,,0,4,,20,1,,,,,,,,,,,,1601 Washington Ave Suite # 700,"Miami Beach, FL  331393164",,LNR Property Corporation,3056955500,066-020-060,066-020-060,1.53,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,351366,Industrial,,,13113,Warehouse,SO6750,,,,,1 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,13113,,,1958,,94592,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,200 Commercial St,C,,,2013 Tax @ $0.76/sf,,Existing,2013 Tax @ $0.76/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,2/10'0inw x 15'0inh,,,,,,,N,,,,0.5452,1/8/2004 12:00,"1,800,000.00",38.137739,,,,,,,-122.253703,North Bay/Santa Rosa,,,,,,,,0,,,18,1,,,,,,,,,,,,122 Bretano Way,"Greenbrae, CA  94904",,Curt & Denise Wear,,0052-040-180,0052-040-180,3,,100,,,,,,,,807776,Industrial,,,8000,Warehouse,SO6162,,,,None,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.76,6078.52,,,,,,,,,,,0,,,,8000,,,1958,,945891974,"N/Av, Vallejo"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,410 Mississippi St,B,,,2013 Tax @ $0.43/sf,,Existing,2013 Tax @ $0.43/sf,,,Vallejo,,,,,,,Solano,,,,,,,1,,,,,,,N,,,,0.2595,,,38.115392,,,,,,,-122.2524603,North Bay/Santa Rosa,,,,,,,,0,,,5,1,,,,,,,,,,,,416 Mississippi St,"Vallejo, CA  94590",,Wetmore Frank W,,0054-171-300,0054-171-300,,,100,,,,,,,,5946270,Industrial,,,7447,Warehouse,ATX6QA,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.43,3184.68,,,,,,,,,,,0,,,,8039,,,1958,,94590,
,,,,,,Property Manager on Site,,,,,,Withheld,,Withheld,-,-,-,-,-,,880 Walnut Ave,C,,Bldg 237,,Mare Island,Existing,,,15'0in,Vallejo,,,,,Metal,,Solano,3rd St,,Lennar Partners,63400,,63400,1/10'0inw x 15'0inh,,,,,Property Manager on Site,,N,,,,0.47,,,38.1020256,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2756024,North Bay/Santa Rosa,,63400,42267,,,,,0,,,28,2,,,,,,,,,,,,1601 Washington Ave Suite # 700,"Miami Beach, FL  331393164",,LNR Property Corporation,3056955500,0066-020-060,0066-020-060,,,0,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",Cliff Miller,Lennar Partners,7075624000,351451,Industrial,,,63400,Warehouse,SO5311,,,21133,,2 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,,,,,,,63400,,,63400,0,63400,0,63400,,,,40874,,,1958,,945921130,
,,,,,,Property Manager on Site,,,,,,-,,-,-,-,-,-,-,,Waterfront Ave @ 9th St,C,,Bldg 108,,Mare Island,Existing,,,16'0in,Vallejo,,,,,Metal,,Solano,9th St,,Lennar Partners,,,,1,,,,,Property Manager on Site,,N,,,,,,,38.0983223,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2679012,North Bay/Santa Rosa,,,,,,,,0,2,,,1,,,,,,,,,,,,1601 Washington Ave Suite # 700,"Miami Beach, FL  331393164",,LNR Property Corporation,3056955500,,,,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,351432,Industrial,,,22601,Warehouse,SO6359,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,22601,,,1959,,94592,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,Waterfront Ave @ A St,C,,Bldg 271,,Mare Island,Existing,,,50'0in,Vallejo,,,,,,,Solano,A St,,,,,,1,,,,,,,N,,,,,,,38.1047156,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2735267,North Bay/Santa Rosa,,,,,,,1,0,,,,1,,,,,,,,,,,,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,,,,,100,,Leasing Mare Island,,,,,,428113,Industrial,,,63576,Warehouse,SO2885,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,63576,,,1959,,94592,
,,,,,,,,,,,,Withheld,,-,Withheld,-,-,-,-,,Walnut Ave @ 8th,B,Mare Island,Building 229,,Mare Island,Existing,,,22'0in,Vallejo,,,,,Steel,,Solano,8th,,,39800,,39800,Yes,,,,,,,N,,,,0.47,,,38.0995878,Mare Island Naval Base,"Vallejo, CA  94590",,,Lennar Partners,7075624000,-122.2722095,North Bay/Santa Rosa,,39800,9950,,,,,0,0,,,3,,,39800,,,,,,,,,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,0066-020-060,0066-020-060,3,,0,,,,,,,,1313138,Industrial,,,39800,Warehouse,457734,,,9950,,2 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,,,,,,,39800,,,39800,0,39800,0,39800,,,,13266,,,1959,,94503,cOMM
,,,,,,"Fenced Lot, Mezzanine",,,,,,Withheld,,Withheld,-,-,-,-,-,,748 N Texas St,C,,,,,Existing,,,,Fairfield,,,,,Wood Frame,,Solano,,,,2000,,2000,None,,,,,"Fenced Lot, Mezzanine",,N,,,,,,,38.250355,4423 Green Valley Rd,"Fairfield, CA  94534",Richard Hougton,,Houghton Richard W,7078648056,-122.032994,North Bay/Santa Rosa,,2000,2000,,,,,0,4,,18,1,,,,,,,,,,,,,,,,,0030-22-0010,0030-22-0010,1.72,,80.91,,Richard Hougton,,,,,,9148565,Industrial,,,10476,Warehouse,CSVVUA,,,300,,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,,,,,,,2000,,,2000,0,2000,0,2000,,,,11904,,,1960,2012,94533,
,,,,,,Fenced Lot,,,,,,-,,-,-,-,-,-,-,,8358 Pedrick Rd,C,,,"2008 Tax @ $0.14/sf, 2012 Est Tax @ $0.15/sf; 2012 Est Ops @ $0.47/sf",,Existing,"2008 Tax @ $0.14/sf, 2012 Est Tax @ $0.15/sf; 2012 Est Ops @ $0.47/sf",,,Dixon,,,,,Metal,,Solano,,,,,,,4/12'0inw x 14'0inh,,,,2012,Fenced Lot,,N,,,,5.35,,,38.474097,8358 Pedrick Rd,"Dixon, CA  95620",Timothy Smith,,Smith Timothy S & Debra Ann,7076788229,-121.803309,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,6100,0.47,,,,8358 Pedrick Rd,"Dixon, CA  95620",Timothy Smith,Smith Timothy S & Debra Ann,7076788229,0111-100-180,0111-100-180,0.9,,100,,Timothy Smith,,,,,,5500690,Industrial,,,13000,Service,A4NLQA,,,,,2 Star,CA,,,,,Solano County Ind,Vacaville Ind,2012,0.15,1953.82,,,,,,,,,,,0,,,,12705,,,1960,,956209606,AG - 40
,,,,,,Fenced Lot,,,,,,-,,-,-,-,-,-,-,,8380 Pedrick Rd,C,,,2013 Tax @ $11.05/sf,,Existing,2013 Tax @ $11.05/sf,,,Dixon,,,,,Reinforced Concrete,,Solano,,,,,,,3/10'0inw x 12'0inh,,,,,Fenced Lot,,N,,,,29.18,,,38.4754742,,,,,,,-121.8031939,North Bay/Santa Rosa,,,,,,,,0,2,,25,1,,,,,,,,,,,,1 Campbell Pl,"Camden, NJ  081031701",,Campbell Soup Company,8563424800,0111-050-110,0111-050-110,3.44,,100,,,,,,,,5518588,Industrial,,,40000,Manufacturing,AD5XPA,,,,,3 Star,CA,,,,,Solano County Ind,Vacaville Ind,2013,11.05,441928.2,,,,,,,,,,,0,,,,40000,,,1960,,956209606,
,,,,,,"Fenced Lot, Skylights",,,,,,-,,-,-,-,-,-,-,,101 Benicia Rd,B,,,2013 Tax @ $0.80/sf,,Existing,2013 Tax @ $0.80/sf,,26'0in-30'0in,Vallejo,,,,,Metal,,Solano,,,,,,,5,,,,,"Fenced Lot, Skylights",,N,,,,1.75,3/14/2008 12:00,"2,625,000.00",38.096961,,,,,,,-122.241347,North Bay/Santa Rosa,,,,,,,,0,1,,15,2,,,,,,,,,,,,14000 San Pablo Ave,"San Pablo, CA  948063604",Michael Ghiringhelli,G & F Properties Inc,,0059-035-150,0059-035-150,0.37,,100,,,,,,,,1341184,Industrial,,,41000,Warehouse,502075,,,,Dry,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.8,32749.52,,,,,,,,,,,0,,,,20500,,,1960,,94590,"GI, Vallejo"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1125 Benicia Rd,C,,,2013 Tax @ $1.31/sf,,Existing,2013 Tax @ $1.31/sf,,,Vallejo,,,,,Wood Frame,,Solano,,,,,,,None,,,,,,,N,,,,0.24,11/30/2005 12:00,"435,000.00",38.091061,,,,,,,-122.215327,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,727 Carolina St,"Vallejo, CA  94590",,Glenda Robertson,,0074-071-050,0074-071-050,2,,100,,,,,,,,770922,Industrial,,,4300,Service,SO1707,,,,,1 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,1.31,5651.12,,,,,,,,,,,0,,,,4300,,,1960,,945917519,"RE 1/2, County"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,105 W Channel Rd,C,,,2013 Tax @ $0.53/sf,,Existing,2013 Tax @ $0.53/sf,,,Benicia,,,,,Masonry,,Solano,,,,,,,4,,,,,,,N,,,,2.79,,,38.079517,,,,,,,-122.135434,North Bay/Santa Rosa,,,,,,,,0,4,,20,1,,,,,,,,,,,,4 Highland Ct,"Orinda, CA  94563",,Klobas Frank,,0080-040-070,0080-040-070,,,100,2500a/480v 3p 3w,,,,,,,544790,Industrial,,,29500,Manufacturing,SO1105,,City,,Yes,3 Star,CA,,,,,Solano County Ind,Benicia Ind,2013,0.53,15706.1,,,,,,,,,,,0,,,,29500,,City,1960,,945101115,IG
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1350 W Texas St,C,,Bldg B,2014 Tax @ $1.18/sf,,Existing,2014 Tax @ $1.18/sf,,16'0in-18'0in,Fairfield,,,,,,,Solano,,,,,,,1,,,,,,,N,,,,1.24,4/30/2014 12:00,"1,050,000.00",38.256793,,,,,,,-122.033656,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,506 Shelly Dr,"Pleasant Hill, CA  945234122",Sarah Matthews,Gsmatthews Llc,,0030-071-120,0030-071-120,,,100,,,,,,,,336394,Industrial,,,7000,,SO0080,,,,,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,1.18,8271.64,,,,,,,,,,,0,,,,7000,,,1961,,945335919,
,,,,,,Property Manager on Site,,,,,,-,,-,-,-,-,-,-,,Cedar Ave @ 3rd St,C,,Bldg 637,,Mare Island,Existing,,,20'0in,Vallejo,,,,,,,Solano,3rd St,,Lennar Partners,,,,15,,,,,Property Manager on Site,,N,,,,,,,38.1011112,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2766232,North Bay/Santa Rosa,,,,,,,3,0,,,,1,,,,,,,,,,,,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,,,,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,431653,Industrial,,,58629,Warehouse,SO5784,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,58629,,,1961,,94592,
,,,,,,"Fenced Lot, Property Manager on Site, Skylights",,,,,,-,,-,-,-,-,-,-,,1080 Nimitz Ave,C,,Bldg 117,,Mare Island,Existing,,,22'0in,Vallejo,,,,,Metal,,Solano,7th St,,Lennar Partners,,Full Service Gross,,11/10'0inw x 10'0inh,,,,,"Fenced Lot, Property Manager on Site, Skylights",,N,,,,2,,,38.0999429,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2697726,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,0066-020-060,0066-020-060,,,100,3000a/277-480v 3p,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,351524,Industrial,,,59972,Manufacturing,SO9579,Direct - Full Service Gross,,,Yes,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,59972,,,1961,,94592,Industrial
,,,,,,Property Manager on Site,,,,,,-,,-,-,-,-,-,-,,Railroad Ave @ 3rd St,C,,Bldg 257,,Mare Island,Existing,,,22'0in,Vallejo,,,,,Metal,,Solano,3rd St,,Lennar Partners,,,,None,,,,,Property Manager on Site,,N,,,,,,,38.101451,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.273784,North Bay/Santa Rosa,,,,,,,,0,5,,,1,,,,,,,,,,,,1601 Washington Ave Suite # 700,"Miami Beach, FL  331393164",,LNR Property Corporation,3056955500,,,,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,351449,Industrial,,,37140,Warehouse,SO5882,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,37140,,,1961,,94592,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1079-1081 Sonoma Blvd,C,,,2013 Tax @ $0.52/sf,,Existing,2013 Tax @ $0.52/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,2/10'0inw x 14'0inh,,,,,,,N,,,,0.45,,,38.094073,,,,,,,-122.2510882,North Bay/Santa Rosa,,,,,,,,0,,,15,1,,,,,,,,,,,,1081 Sonoma Blvd,"Vallejo, CA  94590",,Haskett Robert Jr & Jeanette,,0058-100-500,0058-100-500,1.83,,100,,,,,,,,7669527,Industrial,,,8213,Warehouse,BRXDZA,,,,,1 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.52,4308.84,,,,,,,,,,,0,,,,9333,,,1961,,94590,
,,,,,,Fenced Lot,,,,,,-,,-,-,-,-,-,-,,409 Railroad Ave,C,,,2014 Tax @ $0.49/sf,,Existing,2014 Tax @ $0.49/sf,,,Suisun City,,,,,Reinforced Concrete,,Solano,,,,,,,4/12'0inw x 14'0inh,,,,,Fenced Lot,,N,,,,1,,,38.25701,1300 Oliver Rd Suite # 300,"Fairfield, CA  945343413",,7074219958,"Premier Commercial, Inc.",7074367300,-122.017018,North Bay/Santa Rosa,,,,,,,,0,,,14,1,,,,,,,,,,,,4513 Solano Rd,"Fairfield, CA  94533",,Ables Ralph C & Mary Ann,7074227819,0037-170-210,0037-170-210,1.67,,100,,,,,,,,336633,Industrial,,,8400,Warehouse,SO02CR,,,,,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,0.49,4150.66,,,,,,,,,,,0,,,,8400,,,1962,,945853824,
,,,,,,Fenced Lot,,,,,,-,,-,-,-,-,-,-,,350 W Broadway St,B,,,2013 Tax @ $0.34/sf,,Existing,2013 Tax @ $0.34/sf,,,Dixon,,,,,Wood Frame,,Solano,,,,,,,1/10'0inw x 12'0inh,,,,,Fenced Lot,,N,,,,0.124,,,38.443727,,,,,,,-121.825723,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,1305 Jacobs Pl,"Dixon, CA  95620",,Bennett Living 2013 Trust,,0114-052-040,0114-052-040,,,100,,,,,,,,5500790,Industrial,,,5518,Manufacturing,A4OSPA,,,,,2 Star,CA,,,,,Solano County Ind,Vacaville Ind,2013,0.34,1880.4,,,,,,,,,,,0,,,,5518,,,1962,,956203417,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,202-212 Lemon St,C,,,2013 Tax @ $0.12/sf,,Existing,2013 Tax @ $0.12/sf,,22'0in-24'0in,Vallejo,,,,45'w x 20'd,Reinforced Concrete,,Solano,,,,,,,4/10'0inw x 16'0inh,,,,,,,N,,,,1.6933,7/2/2012 12:00,"372,000.00",38.0864148,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Jon Quick,7078630181,Colliers International,7078630188,-122.2467492,North Bay/Santa Rosa,,,,,,,,0,6,,20,1,,,,,,,,,,,,19 Heron St,"San Francisco, CA  941034510",Andrew Govan-Smith,Andrew Govan-Smith,4158228783,0061-041-070,0061-041-070,1.46,,100,400a/120-208v,Jon Quick,,,,,,801275,Industrial,,,13684,Warehouse,SO5973,,City,,None,1 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.12,1700.16,,,,,,,,,,,0,,,,13684,,City,1962,,945907237,PDI
,,,,,,,,,,,,4.2,,4.2,-,-,-,-,-,,101 Yolano Dr,B,,,2014 Combined Tax/Ops @ $0.48/sf,,Existing,2014 Combined Tax/Ops @ $0.48/sf,,20'0in-24'0in,Vallejo,,,,,Masonry,,Solano,,,,31000,Triple Net,31000,1,,,,,,,N,Yes,Yes,,2.45,,,38.1317029,939 Tennessee St,"Vallejo, CA  94590",Dennis Brinson,,Brinson Properties,7077044101,-122.2585773,North Bay/Santa Rosa,,31000,31000,,,,,0,5,,75,1,,,,,,,,,,,,939 Tennessee St,"Vallejo, CA  94590",Dennis Brinson,Brinson Properties,7077044101,0051-250-170,0051-250-170,2.5,,0,400a 3p 4w,Dennis Brinson,939 Tennessee St,"Vallejo, CA  94590",Dennis Brinson,Brinson Properties,7077044101,7007927,Industrial,,,31000,Warehouse,BSYFGA,Direct - Triple Net,City,31000,ESFR,1 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,,,,,,,31000,,,31000,0,31000,0,31000,,,,31000,,City,1962,,94589,INDUSTRIAL
,,,,,,"Mezzanine, Property Manager on Site, Waterfront",,,,,,Withheld,,Withheld,-,-,-,-,-,,1145 Nimitz Ave,C,,Bldg 106,,Mare Island,Existing,,,27'0in,Vallejo,,,,,Masonry,,Solano,10th St,,Lennar Partners,49694,,49694,9/15'0inw x 18'0inh,,,,,"Mezzanine, Property Manager on Site, Waterfront",,N,,,,1.86,,,38.096494,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.268345,North Bay/Santa Rosa,,49694,49694,,,,4,0,,,20,1,,,,,,,,,,,,1601 Washington Ave Suite # 700,"Miami Beach, FL  331393164",,LNR Property Corporation,3056955500,0066-050-040,0066-050-040,,,0,400-800a/120-480v 3p,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA  94590",,Lennar Partners,7075624000,351448,Industrial,,,49694,Manufacturing,SO9220,,,36800,,2 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,,,,,,,49694,,,49694,0,49694,0,49694,,,,49694,,,1962,,94592,Ind
